x,y,etiqueta
-2.096,-2.834,2.000
2.688,2.328,1.000
-4.195,-1.705,2.000
3.970,3.418,1.000
-0.614,-4.602,2.000
-2.242,-3.158,2.000
3.675,4.339,1.000
-2.461,1.145,2.000
3.700,2.289,1.000
-1.676,-0.125,2.000
3.564,3.755,1.000
-2.361,-4.202,2.000
3.708,3.538,1.000
-1.961,-2.682,2.000
-5.118,-5.783,2.000
-0.955,-3.227,2.000
-0.989,-1.462,2.000
2.618,3.922,1.000
1.694,1.647,1.000
4.343,3.158,1.000
-0.947,-4.829,2.000
-3.387,-4.727,2.000
-2.214,-6.287,2.000
2.006,3.060,1.000
-3.711,-2.456,2.000
3.669,1.914,1.000
-3.516,-2.676,2.000
-3.118,-1.258,2.000
-4.018,-6.432,2.000
3.339,2.590,1.000
1.715,1.845,1.000
3.246,2.751,1.000
3.516,2.515,1.000
-1.718,-1.769,2.000
3.253,3.099,1.000
2.795,3.359,1.000
-2.423,-6.212,2.000
-2.540,-3.072,2.000
-5.414,0.730,2.000
-4.376,-5.730,2.000
4.345,4.685,1.000
-3.835,-1.151,2.000
3.139,4.927,1.000
-3.497,0.279,2.000
2.967,3.461,1.000
-4.603,-3.433,2.000
-1.663,-0.728,2.000
3.497,-0.304,1.000
4.268,2.768,1.000
-4.547,-4.174,2.000
1.773,3.310,1.000
-2.075,-4.789,2.000
-4.352,-4.924,2.000
1.975,2.538,1.000
5.651,2.410,1.000
2.228,4.010,1.000
0.801,3.474,1.000
3.164,4.157,1.000
3.047,4.294,1.000
3.069,0.680,1.000
-0.568,-2.807,2.000
3.475,3.138,1.000
4.234,4.065,1.000
3.926,2.764,1.000
4.738,3.461,1.000
3.628,4.046,1.000
3.094,2.175,1.000
3.002,3.578,1.000
2.353,4.796,1.000
3.995,2.782,1.000
2.473,3.502,1.000
-3.336,0.181,2.000
4.364,2.524,1.000
-0.709,-5.865,2.000
-0.138,-7.803,2.000
4.071,2.079,1.000
4.185,2.604,1.000
-0.525,-2.578,2.000
3.496,2.319,1.000
1.682,3.849,1.000
0.685,3.174,1.000
3.434,1.437,1.000
3.236,2.069,1.000
2.609,1.481,1.000
-4.451,-2.079,2.000
-0.628,2.739,1.000
2.599,3.008,1.000
-4.196,0.561,2.000
-1.110,-5.729,2.000
-1.560,-3.609,2.000
-3.343,0.141,2.000
2.668,3.225,1.000
2.678,3.478,1.000
-3.557,-4.114,2.000
2.717,4.688,1.000
-3.806,0.435,2.000
-2.971,-3.674,2.000
-2.484,-2.073,2.000
-1.515,-4.067,2.000
3.523,2.119,1.000
5.909,3.136,1.000
3.363,0.990,1.000
-2.455,-4.466,2.000
3.572,1.066,1.000
-2.305,-0.316,2.000
-2.734,-2.410,2.000
4.248,3.436,1.000
-3.958,-1.414,2.000
3.480,1.932,1.000
3.276,3.077,1.000
1.833,3.751,1.000
-5.092,-6.503,2.000
-1.618,-3.195,2.000
2.434,1.724,1.000
-0.484,0.888,2.000
-3.765,-6.118,2.000
-4.812,-0.429,2.000
1.819,2.961,1.000
-1.852,-3.347,2.000
-3.031,-2.416,2.000
1.904,2.979,1.000
-4.265,-4.294,2.000
3.371,4.801,1.000
1.989,1.914,1.000
-0.713,-4.162,2.000
3.748,2.694,1.000
-2.800,-3.545,2.000
-4.932,-2.840,2.000
1.712,3.690,1.000
3.630,1.336,1.000
-4.033,-1.738,2.000
-3.783,-2.926,2.000
-0.652,-1.943,2.000
3.081,3.077,1.000
-2.702,-0.758,2.000
2.415,3.513,1.000
-2.730,-1.683,2.000
-2.606,-3.228,2.000
-4.496,-2.641,2.000
-6.688,-1.072,2.000
3.857,2.080,1.000
3.835,3.025,1.000
-6.066,-2.559,2.000
-3.700,-2.771,2.000
-2.376,-4.121,2.000
4.544,3.958,1.000
-2.647,-5.511,2.000
4.537,3.579,1.000
2.765,3.794,1.000
2.185,3.523,1.000
-3.496,-3.925,2.000
2.384,2.936,1.000
4.206,2.366,1.000
-4.152,-2.297,2.000
0.742,-3.772,2.000
-0.928,-4.032,2.000
-5.833,-3.359,2.000
1.849,3.985,1.000
-2.895,-2.788,2.000
-3.869,0.877,2.000
-5.139,-4.283,2.000
3.296,4.316,1.000
-3.285,-6.184,2.000
3.686,3.537,1.000
2.536,2.649,1.000
3.410,3.193,1.000
2.999,3.323,1.000
-2.663,-4.036,2.000
-3.544,-4.298,2.000
2.262,4.033,1.000
2.027,3.894,1.000
-3.033,-2.683,2.000
-3.989,-4.109,2.000
2.604,1.787,1.000
-0.956,-0.857,2.000
2.506,2.883,1.000
-2.705,-0.029,2.000
2.739,4.881,1.000
3.499,3.167,1.000
2.778,1.965,1.000
2.001,2.248,1.000
3.107,3.743,1.000
-3.124,-3.453,2.000
-3.992,-3.679,2.000
0.582,2.654,1.000
-3.904,-7.568,2.000
-0.262,-2.097,2.000
-3.248,-2.273,2.000
2.228,3.981,1.000
-1.544,-2.387,2.000
3.848,2.123,1.000
-2.747,-0.648,2.000
2.244,2.734,1.000
-3.877,-3.245,2.000
-2.315,-2.505,2.000
-2.832,-4.950,2.000
-1.692,-4.089,2.000
2.869,2.258,1.000
2.074,2.816,1.000
3.233,2.709,1.000
-2.064,-3.389,2.000
3.329,2.291,1.000
-3.356,1.860,2.000
-2.623,-3.841,2.000
-4.382,-3.519,2.000
-3.726,-5.637,2.000
-3.343,-4.724,2.000
-3.709,-2.994,2.000
2.818,4.053,1.000
4.088,1.462,1.000
1.675,3.326,1.000
-3.033,-2.356,2.000
1.766,3.512,1.000
3.343,4.040,1.000
1.895,2.306,1.000
-5.093,-4.682,2.000
-3.397,-6.386,2.000
-1.166,-6.182,2.000
2.892,1.342,1.000
1.610,4.736,1.000
-2.716,-3.025,2.000
5.068,2.821,1.000
2.572,4.449,1.000
4.905,2.592,1.000
-2.676,5.138,2.000
-3.813,-2.105,2.000
-4.456,-1.651,2.000
1.832,2.728,1.000
3.946,3.830,1.000
-4.234,-4.066,2.000
4.337,3.012,1.000
-1.891,-1.028,2.000
3.497,2.175,1.000
-4.974,-5.260,2.000
3.152,2.637,1.000
-2.432,-6.960,2.000
2.109,0.924,1.000
4.086,2.742,1.000
2.119,2.169,1.000
2.268,4.319,1.000
4.208,0.904,1.000
-0.495,-5.762,2.000
1.258,3.180,1.000
0.587,-5.056,2.000
-3.624,-0.497,2.000
-2.321,-2.687,2.000
3.133,3.876,1.000
3.329,3.417,1.000
-2.951,-7.452,2.000
0.980,2.005,1.000
2.279,3.429,1.000
-2.646,-5.984,2.000
2.848,3.012,1.000
2.389,1.701,1.000
3.253,4.026,1.000
1.579,4.032,1.000
3.541,1.372,1.000
-3.771,-3.281,2.000
1.585,2.169,1.000
2.196,3.202,1.000
4.270,4.395,1.000
4.031,4.271,1.000
-2.627,-3.448,2.000
-4.373,-4.434,2.000
-3.304,-6.125,2.000
-3.119,-3.488,2.000
0.907,1.089,1.000
3.059,3.079,1.000
-2.578,-3.334,2.000
2.134,3.231,1.000
3.282,1.255,1.000
-5.544,-3.821,2.000
-3.662,0.362,2.000
-3.346,-5.169,2.000
2.379,2.980,1.000
2.533,4.053,1.000
1.421,0.905,1.000
-2.284,-1.330,2.000
-3.303,-5.334,2.000
1.798,2.028,1.000
3.306,3.677,1.000
-1.632,-3.836,2.000
2.801,1.282,1.000
-1.252,-1.899,2.000
-3.865,-0.395,2.000
2.983,2.702,1.000
-2.836,-2.721,2.000
1.833,2.406,1.000
-4.713,-3.627,2.000
-1.144,-4.625,2.000
0.164,4.749,1.000
-3.670,-2.881,2.000
-1.478,0.281,2.000
-4.119,-4.061,2.000
3.224,4.105,1.000
-4.281,-3.457,2.000
-4.153,-4.620,2.000
0.915,3.469,1.000
3.236,2.931,1.000
4.402,3.952,1.000
-3.267,-3.264,2.000
0.712,3.598,1.000
-2.884,-4.298,2.000
2.124,4.630,1.000
3.853,4.056,1.000
-2.054,1.182,2.000
1.594,3.274,1.000
3.529,3.755,1.000
-0.518,-4.477,2.000
2.879,3.653,1.000
2.027,4.046,1.000
2.379,1.051,1.000
-2.424,-2.037,2.000
3.529,2.527,1.000
-4.708,-5.593,2.000
4.003,2.209,1.000
-4.428,-1.537,2.000
2.423,3.287,1.000
-4.489,0.197,2.000
-3.974,-2.700,2.000
-1.396,-2.399,2.000
3.350,3.019,1.000
4.308,5.790,1.000
3.017,3.500,1.000
-3.314,-2.755,2.000
-5.137,-6.527,2.000
-3.033,-2.502,2.000
-4.225,-5.889,2.000
2.445,3.131,1.000
3.497,2.704,1.000
-2.791,0.119,2.000
-4.272,3.055,2.000
2.229,3.596,1.000
4.153,0.270,1.000
3.931,4.464,1.000
3.109,1.985,1.000
1.832,4.181,1.000
2.995,1.868,1.000
-4.214,-2.842,2.000
-3.309,-1.425,2.000
-2.281,-3.959,2.000
4.112,3.358,1.000
2.513,4.656,1.000
2.412,2.676,1.000
-0.970,-5.188,2.000
-5.803,-4.692,2.000
-4.729,-2.266,2.000
2.963,1.313,1.000
-5.368,-5.426,2.000
3.573,2.342,1.000
3.555,2.120,1.000
-3.070,-3.325,2.000
3.830,3.056,1.000
-3.897,-3.087,2.000
-4.962,-4.899,2.000
-2.791,-0.844,2.000
3.456,2.897,1.000
3.255,4.375,1.000
1.867,1.955,1.000
-4.227,-3.090,2.000
-2.124,-3.511,2.000
-3.112,-0.653,2.000
-1.730,-4.706,2.000
-1.900,-6.890,2.000
-4.099,-4.435,2.000
4.658,3.858,1.000
4.374,2.558,1.000
-2.711,-2.361,2.000
2.654,1.591,1.000
2.566,2.720,1.000
1.978,3.690,1.000
-1.610,-5.512,2.000
0.593,3.858,1.000
3.557,4.577,1.000
2.048,2.713,1.000
-1.123,-3.441,2.000
-0.635,-5.937,2.000
1.855,3.944,1.000
-0.780,-3.445,2.000
3.838,5.858,1.000
1.700,4.565,1.000
3.285,2.302,1.000
2.835,3.869,1.000
3.416,4.634,1.000
2.896,2.855,1.000
2.427,3.570,1.000
-0.252,-3.594,2.000
-1.742,-1.304,2.000
-2.679,-0.518,2.000
-3.259,-2.519,2.000
0.381,2.861,1.000
-5.269,-3.918,2.000
2.762,2.842,1.000
3.324,2.304,1.000
3.646,3.082,1.000
-4.915,-3.260,2.000
-1.485,-5.672,2.000
3.737,3.721,1.000
2.491,3.097,1.000
2.867,1.878,1.000
1.076,3.236,1.000
4.013,3.627,1.000
-5.789,-3.873,2.000
2.741,3.193,1.000
-3.945,-1.067,2.000
-5.207,-3.846,2.000
4.165,2.634,1.000
2.476,2.712,1.000
1.818,4.527,1.000
3.207,1.381,1.000
2.939,4.073,1.000
3.204,3.756,1.000
4.853,2.908,1.000
3.594,2.284,1.000
1.911,3.348,1.000
3.192,1.777,1.000
-3.010,0.036,2.000
-2.271,-4.668,2.000
3.577,1.778,1.000
-3.806,-4.907,2.000
-4.832,-4.515,2.000
-2.839,-0.917,2.000
-1.415,-5.550,2.000
-1.348,-4.531,2.000
-2.919,-6.698,2.000
-1.529,-6.941,2.000
3.924,2.433,1.000
2.894,3.066,1.000
2.567,3.509,1.000
-3.258,-7.481,2.000
-3.479,-3.923,2.000
-5.020,-2.376,2.000
-4.999,-7.166,2.000
4.602,1.336,1.000
-0.047,-7.417,2.000
2.800,5.440,1.000
3.159,3.673,1.000
1.711,2.198,1.000
-4.235,-3.517,2.000
3.173,3.231,1.000
-3.991,1.255,2.000
-5.105,0.184,2.000
3.243,3.387,1.000
-3.103,-2.297,2.000
1.675,2.416,1.000
-1.852,-3.865,2.000
2.406,1.985,1.000
3.111,3.155,1.000
2.230,1.720,1.000
-4.017,-3.041,2.000
-3.059,-0.008,2.000
2.528,2.379,1.000
3.491,2.158,1.000
4.631,2.323,1.000
2.606,2.938,1.000
-3.065,-3.587,2.000
2.907,2.876,1.000
2.791,3.275,1.000
3.311,3.349,1.000
3.943,2.888,1.000
2.949,1.520,1.000
1.622,4.066,1.000
-3.054,-4.003,2.000
-0.997,-0.539,2.000
2.329,2.996,1.000
3.120,3.741,1.000
-1.887,-1.724,2.000
-2.397,-0.295,2.000
0.560,-3.901,2.000
2.383,0.659,1.000
4.988,5.206,1.000
4.134,2.322,1.000
-0.780,-1.853,2.000
2.315,3.088,1.000
2.426,3.759,1.000
3.804,4.477,1.000
3.198,0.703,1.000
4.086,0.859,1.000
3.885,2.597,1.000
-4.059,-3.953,2.000
-5.095,0.412,2.000
3.826,3.350,1.000
-4.805,-1.691,2.000
-2.204,-0.545,2.000
4.265,3.670,1.000
-3.743,-3.562,2.000
3.391,4.408,1.000
2.700,5.143,1.000
1.684,4.519,1.000
-4.096,-3.859,2.000
1.086,3.443,1.000
4.419,3.244,1.000
3.819,1.832,1.000
-3.153,-1.085,2.000
-2.492,-3.672,2.000
-0.576,-2.519,2.000
4.392,1.977,1.000
1.604,2.461,1.000
3.735,3.883,1.000
-2.654,-7.024,2.000
-2.742,-4.274,2.000
4.085,1.330,1.000
1.926,3.300,1.000
-1.514,-3.701,2.000
3.500,0.454,1.000
2.382,2.186,1.000
4.834,2.885,1.000
-3.915,0.613,2.000
-3.991,-2.081,2.000
-4.750,-4.720,2.000
2.480,3.465,1.000
-2.875,-2.907,2.000
-2.895,-4.546,2.000
-1.600,-4.533,2.000
2.304,2.125,1.000
-2.217,-2.405,2.000
-2.017,-2.724,2.000
3.599,1.994,1.000
-5.774,-3.426,2.000
-3.063,-6.266,2.000
-3.744,-4.612,2.000
-0.253,-9.241,2.000
-3.978,-0.919,2.000
3.117,1.101,1.000
-5.115,-2.751,2.000
-4.837,-1.331,2.000
-3.071,-3.246,2.000
3.648,3.255,1.000
2.920,3.202,1.000
-2.807,0.529,2.000
-3.633,-2.445,2.000
3.753,2.037,1.000
-1.613,-3.148,2.000
-3.263,-0.248,2.000
2.126,2.667,1.000
3.203,1.205,1.000
4.516,3.514,1.000
1.442,1.968,1.000
-3.422,-0.588,2.000
-3.443,-0.511,2.000
-0.539,-1.214,2.000
3.796,1.326,1.000
3.017,4.295,1.000
-4.023,-1.055,2.000
-2.800,-1.155,2.000
2.985,2.648,1.000
-0.127,-2.882,2.000
-4.892,-6.141,2.000
-0.159,-3.994,2.000
1.949,3.672,1.000
-1.603,-0.257,2.000
-2.282,-1.643,2.000
-3.044,-2.922,2.000
-2.090,-4.231,2.000
-3.735,-3.065,2.000
4.443,1.336,1.000
-2.557,-1.696,2.000
2.988,3.084,1.000
3.638,3.286,1.000
2.925,3.232,1.000
3.289,5.066,1.000
2.962,3.760,1.000
-2.762,-1.998,2.000
-2.593,-5.099,2.000
-3.487,1.921,2.000
-3.091,-1.553,2.000
2.372,2.183,1.000
-3.840,-2.625,2.000
-2.270,-7.772,2.000
3.794,2.764,1.000
5.728,4.134,1.000
-3.593,-7.546,2.000
-2.829,-1.225,2.000
-3.657,-3.558,2.000
1.936,2.555,1.000
-2.790,-3.677,2.000
4.696,3.266,1.000
-2.752,-4.693,2.000
-2.667,-3.486,2.000
-3.079,-2.595,2.000
-0.551,-5.854,2.000
-3.606,-4.624,2.000
2.428,3.303,1.000
1.800,3.521,1.000
-7.594,-7.802,2.000
2.033,3.314,1.000
4.363,2.813,1.000
2.259,3.160,1.000
3.021,2.277,1.000
-4.812,-4.491,2.000
-0.456,-7.663,2.000
-3.592,-4.523,2.000
2.428,2.614,1.000
-4.230,-1.622,2.000
3.808,2.782,1.000
-1.788,-2.584,2.000
-3.601,0.437,2.000
2.696,3.599,1.000
3.489,2.375,1.000
-5.123,-4.870,2.000
3.113,3.998,1.000
-5.406,-1.096,2.000
3.628,3.935,1.000
-5.008,-2.060,2.000
2.680,2.086,1.000
4.687,3.974,1.000
-4.075,-6.394,2.000
-3.307,-5.427,2.000
4.534,3.844,1.000
-1.942,-3.649,2.000
-3.592,-3.541,2.000
-3.090,-0.952,2.000
-1.159,-4.606,2.000
-2.283,-2.395,2.000
3.144,1.068,1.000
4.144,1.333,1.000
2.168,2.098,1.000
3.486,3.723,1.000
-4.236,-3.917,2.000
1.893,2.663,1.000
-4.848,-6.363,2.000
2.586,3.288,1.000
3.511,3.079,1.000
2.689,3.284,1.000
-3.563,-2.244,2.000
-3.307,-1.654,2.000
-1.409,-0.144,2.000
1.682,3.337,1.000
2.538,4.015,1.000
-2.354,-0.424,2.000
2.180,4.352,1.000
3.241,1.280,1.000
2.216,2.111,1.000
2.371,2.072,1.000
2.016,2.694,1.000
-4.233,-7.408,2.000
-1.437,-2.325,2.000
0.301,-3.357,2.000
1.168,1.909,1.000
2.503,3.141,1.000
2.325,2.997,1.000
-3.135,-0.583,2.000
1.095,3.553,1.000
-3.487,-4.102,2.000
-2.323,-6.625,2.000
-1.657,-4.141,2.000
-3.383,-1.224,2.000
-3.237,-1.983,2.000
2.519,2.370,1.000
2.560,3.716,1.000
-3.082,-3.306,2.000
-1.963,-5.699,2.000
4.245,1.842,1.000
-2.542,-5.054,2.000
-2.054,1.398,2.000
-3.332,-6.843,2.000
-0.444,-4.958,2.000
0.415,0.335,2.000
-5.712,-0.995,2.000
2.575,3.576,1.000
2.607,1.626,1.000
4.280,0.608,1.000
2.117,3.368,1.000
1.852,3.746,1.000
-3.499,-5.714,2.000
-3.134,0.929,2.000
4.583,3.070,1.000
-2.237,-3.059,2.000
-1.176,-2.813,2.000
-2.224,0.010,2.000
2.467,2.204,1.000
-2.500,-4.774,2.000
4.414,2.389,1.000
1.861,2.332,1.000
-2.746,-0.038,2.000
-1.724,-3.548,2.000
3.701,3.329,1.000
0.194,-0.826,2.000
-3.869,-2.705,2.000
-2.396,-4.745,2.000
-2.314,-7.489,2.000
4.763,2.703,1.000
-1.906,0.020,2.000
3.754,1.886,1.000
2.194,2.742,1.000
3.767,1.877,1.000
-3.109,-2.992,2.000
1.397,2.755,1.000
-3.073,-4.938,2.000
-2.062,-6.864,2.000
4.838,2.012,1.000
-3.500,-3.002,2.000
-4.542,-5.921,2.000
-1.028,-2.475,2.000
1.673,2.533,1.000
-3.944,-3.449,2.000
2.072,1.716,1.000
-3.761,-1.242,2.000
2.670,4.021,1.000
2.614,2.996,1.000
-3.466,2.776,2.000
-4.266,-8.426,2.000
1.846,2.333,1.000
3.029,1.369,1.000
1.143,2.532,1.000
1.628,2.817,1.000
1.975,1.178,1.000
-2.454,-4.503,2.000
5.301,3.015,1.000
3.909,2.602,1.000
-3.885,-3.133,2.000
3.157,3.450,1.000
-2.991,-3.830,2.000
4.852,2.960,1.000
-0.606,-1.171,2.000
3.316,2.759,1.000
3.425,5.230,1.000
1.728,3.334,1.000
-4.235,-1.457,2.000
-0.634,-2.645,2.000
1.686,2.060,1.000
2.057,1.994,1.000
3.171,2.633,1.000
-2.113,-4.381,2.000
-2.219,-2.234,2.000
-3.452,0.768,2.000
-4.730,-3.832,2.000
-2.685,-1.370,2.000
3.358,3.203,1.000
3.676,1.327,1.000
2.824,1.821,1.000
3.495,3.570,1.000
3.111,5.630,1.000
1.620,4.435,1.000
-2.709,-6.059,2.000
2.674,3.034,1.000
-2.074,-4.111,2.000
2.408,2.018,1.000
-3.005,0.888,2.000
-1.609,-5.503,2.000
4.501,2.693,1.000
5.601,1.888,1.000
-3.899,-4.604,2.000
-3.566,-1.570,2.000
-3.380,-5.986,2.000
3.943,2.800,1.000
3.486,3.086,1.000
-1.868,-3.570,2.000
3.477,2.028,1.000
3.256,3.677,1.000
2.516,2.671,1.000
3.246,2.448,1.000
-3.280,-3.800,2.000
-1.634,-2.547,2.000
-2.551,-4.786,2.000
-1.922,-3.970,2.000
2.063,3.134,1.000
2.770,3.993,1.000
0.215,-0.684,2.000
-2.426,-5.771,2.000
-4.100,-4.753,2.000
1.995,4.298,1.000
3.519,1.321,1.000
-5.348,-5.358,2.000
1.940,1.529,1.000
1.411,4.367,1.000
3.633,4.252,1.000
2.579,3.842,1.000
2.424,3.420,1.000
2.027,1.333,1.000
3.057,4.491,1.000
-4.232,-5.124,2.000
2.144,4.388,1.000
-0.969,-6.604,2.000
-0.677,-2.724,2.000
2.405,1.539,1.000
1.694,1.174,1.000
3.868,4.663,1.000
2.911,1.613,1.000
2.447,4.281,1.000
-4.627,-1.825,2.000
4.714,2.252,1.000
2.015,2.985,1.000
1.063,2.664,1.000
-4.893,-5.209,2.000
-2.748,-2.478,2.000
4.551,3.661,1.000
-2.631,-6.742,2.000
3.409,3.246,1.000
-0.735,1.170,2.000
3.815,2.887,1.000
-0.400,-1.664,2.000
-1.905,-0.790,2.000
-1.784,-2.320,2.000
-2.296,-2.399,2.000
-3.796,-1.664,2.000
-3.511,-3.931,2.000
2.099,2.861,1.000
-3.151,-5.553,2.000
-1.893,-1.944,2.000
3.180,2.291,1.000
0.482,-3.007,2.000
3.474,3.834,1.000
3.497,2.094,1.000
2.236,4.074,1.000
3.112,2.849,1.000
0.768,3.156,1.000
0.049,-4.283,2.000
2.799,2.086,1.000
-4.406,-3.455,2.000
2.970,2.169,1.000
2.462,2.757,1.000
1.578,4.725,1.000
-4.467,-4.740,2.000
-1.619,-5.763,2.000
